"playerID","yearID","teamID","lgID","HR","AB","Age","park","POS","N_i","E","B1","B2","B3"
"abreubo01",2006,"NYA","AL",7,209,32,"Yankee Stadium II","RF",11,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"abreubo01",2006,"PHI","NL",8,339,32,"Citizens Bank Park","RF",11,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"adamsru01",2006,"TOR","AL",3,251,26,"Rogers Centre","2B",2,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"aguilch01",2006,"FLO","NL",0,95,27,"Joe Robbie Stadium","RF",2,"0",0.433966132272746,0.165320431341998,0.020993070646603
"alfonel01",2006,"SFN","NL",12,286,27,"AT&T Park","C",1,"0",0.433966132272746,0.165320431341998,0.020993070646603
"aloumo01",2006,"SFN","NL",22,345,40,"AT&T Park","RF",14,"1",0.165320431341998,0.433966132272746,0.379720365738653
"amezaal01",2006,"FLO","NL",3,334,28,"Joe Robbie Stadium","CF",3,"0",0.442822583951782,0.199270162778302,0.0298905244167453
"anderbr03",2006,"CHA","AL",8,365,24,"U.S. Cellular Field","CF",1,"0",0.354258067161425,0.0738037639919636,0.00512526138833081
"anderga01",2006,"LAA","AL",17,543,34,"Angels Stadium of Anaheim","LF",12,"0",0.361638443560622,0.387469760957809,0.138382057484932
"anderma02",2006,"WAS","NL",5,215,32,"R.F.K. Stadium","2B",8,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"ardoida01",2006,"COL","NL",0,109,32,"Coors Field","C",2,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"atkinga01",2006,"COL","NL",29,602,27,"Coors Field","3B",2,"0",0.433966132272746,0.165320431341998,0.020993070646603
"aurilri01",2006,"CIN","NL",23,440,35,"Great American Ball Park","3B",12,"1",0.332608963057116,0.409364877608758,0.167944565172824
"ausmubr01",2006,"HOU","NL",2,439,37,"Minute Maid Park","C",15,"0",0.267907663290828,0.438394358112264,0.239124195333962
"aybarwi01",2006,"ATL","NL",1,115,23,"Turner Field","3B",3,"0",0.307515683299848,0.0492025093279757,0.00262413383082537
"aybarwi01",2006,"LAN","NL",3,128,23,"Dodger Stadium","3B",3,"0",0.307515683299848,0.0492025093279757,0.00262413383082537
"bakopa01",2006,"KCA","AL",0,153,34,"Kauffman Stadium","C",8,"0",0.361638443560622,0.387469760957809,0.138382057484932
"baldero01",2006,"TBA","AL",16,364,25,"Tropicana Field","CF",3,"0",0.390421911517487,0.10184919430891,0.00885645167903563
"barajro01",2006,"TEX","AL",11,344,31,"Ameriquest Field","C",6,"0",0.426585755873549,0.301119357087211,0.070851613432285
"bardjo01",2006,"SDN","NL",9,231,28,"Petco Park","C",4,"0",0.442822583951782,0.199270162778302,0.0298905244167453
"barfijo02",2006,"SDN","NL",13,539,24,"Petco Park","2B",1,"0",0.354258067161425,0.0738037639919636,0.00512526138833081
"barmecl01",2006,"COL","NL",7,478,27,"Coors Field","SS",2,"0",0.433966132272746,0.165320431341998,0.020993070646603
"barremi01",2006,"CHN","NL",16,375,30,"Wrigley Field","C",8,"0",0.438394358112264,0.267907663290828,0.0545737832629464
"bartlja01",2006,"MIN","AL",2,333,27,"Hubert H Humphrey Metrodome","SS",2,"0",0.433966132272746,0.165320431341998,0.020993070646603
"batisto01",2006,"MIN","AL",5,178,33,"Hubert H Humphrey Metrodome","3B",12,"0",0.387469760957809,0.361638443560622,0.112509737996638
"bautijo02",2006,"PIT","NL",16,400,26,"PNC Park","CF",1,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"bayja01",2006,"PIT","NL",35,570,28,"PNC Park","LF",4,"1",0.442822583951782,0.199270162778302,0.0298905244167453
"bellda01",2006,"MIL","NL",4,180,34,"Miller Park","3B",14,"0",0.361638443560622,0.387469760957809,0.138382057484932
"bellda01",2006,"PHI","NL",6,324,34,"Citizens Bank Park","3B",14,"0",0.361638443560622,0.387469760957809,0.138382057484932
"bellhma01",2006,"SDN","NL",8,253,32,"Petco Park","3B",7,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"belliro01",2006,"CLE","AL",8,350,31,"Progressive Field","2B",9,"0",0.426585755873549,0.301119357087211,0.070851613432285
"belliro01",2006,"SLN","NL",5,194,31,"Busch Stadium III","2B",9,"0",0.426585755873549,0.301119357087211,0.070851613432285
"beltrad01",2006,"SEA","AL",25,620,27,"Safeco Field","3B",9,"0",0.433966132272746,0.165320431341998,0.020993070646603
"beltrca01",2006,"NYN","NL",41,510,29,"Shea Stadium","CF",9,"1",0.444052646684981,0.233711919307885,0.0410020911066464
"bennega01",2006,"SLN","NL",4,157,34,"Busch Stadium III","C",7,"0",0.361638443560622,0.387469760957809,0.138382057484932
"berkmla01",2006,"HOU","NL",45,536,30,"Minute Maid Park","1B",8,"1",0.438394358112264,0.267907663290828,0.0545737832629464
"berroan01",2006,"KCA","AL",9,474,26,"Kauffman Stadium","SS",5,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"betanyu01",2006,"SEA","AL",8,558,24,"Safeco Field","SS",2,"0",0.354258067161425,0.0738037639919636,0.00512526138833081
"betemwi01",2006,"ATL","NL",9,199,25,"Turner Field","3B",3,"0",0.390421911517487,0.10184919430891,0.00885645167903563
"betemwi01",2006,"LAN","NL",9,174,25,"Dodger Stadium","3B",3,"1",0.390421911517487,0.10184919430891,0.00885645167903563
"biggicr01",2006,"HOU","NL",21,548,41,"Minute Maid Park","2B",17,"0",0.132600762638895,0.416745254007954,0.436590266103571
"blakeca01",2006,"CLE","AL",19,401,33,"Progressive Field","RF",4,"0",0.387469760957809,0.361638443560622,0.112509737996638
"blaloha01",2006,"TEX","AL",16,591,26,"Ameriquest Field","3B",5,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"blancan01",2006,"KCA","AL",0,87,22,"Kauffman Stadium","SS",2,"0",0.249456722292837,0.0287834679568658,0.00110705645987945
"blanche01",2006,"CHN","NL",6,241,35,"Wrigley Field","C",8,"0",0.332608963057116,0.409364877608758,0.167944565172824
"bloomwi01",2006,"SEA","AL",1,251,29,"Safeco Field","CF",4,"0",0.444052646684981,0.233711919307885,0.0410020911066464
"blumge01",2006,"SDN","NL",4,276,33,"Petco Park","SS",9,"0",0.387469760957809,0.361638443560622,0.112509737996638
"bondsba01",2006,"SFN","NL",26,367,42,"AT&T Park","LF",16,"1",0.10184919430891,0.390421911517487,0.498872442494567
"booneaa01",2006,"CLE","AL",7,354,33,"Progressive Field","3B",9,"0",0.387469760957809,0.361638443560622,0.112509737996638
"borchjo01",2006,"FLO","NL",10,230,28,"Joe Robbie Stadium","RF",2,"0",0.442822583951782,0.199270162778302,0.0298905244167453
"bowenro01",2006,"SDN","NL",3,94,25,"Petco Park","C",1,"0",0.390421911517487,0.10184919430891,0.00885645167903563
"bradlmi01",2006,"OAK","AL",14,351,28,"McAfee Coliseum","RF",7,"0",0.442822583951782,0.199270162778302,0.0298905244167453
"branyru01",2006,"TBA","AL",12,169,31,"Tropicana Field","RF",8,"1",0.426585755873549,0.301119357087211,0.070851613432285
"brousbe01",2006,"SEA","AL",8,164,30,"Safeco Field","1B",6,"0",0.438394358112264,0.267907663290828,0.0545737832629464
"brousbe01",2006,"CLE","AL",13,268,30,"Progressive Field","1B",6,"0",0.438394358112264,0.267907663290828,0.0545737832629464
"brownem01",2006,"KCA","AL",15,527,32,"Kauffman Stadium","LF",5,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"brunter01",2006,"HOU","NL",0,119,28,"Minute Maid Park","2B",2,"0",0.442822583951782,0.199270162778302,0.0298905244167453
"buckjo01",2006,"KCA","AL",11,371,26,"Kauffman Stadium","C",3,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"burkech01",2006,"HOU","NL",9,366,26,"Minute Maid Park","2B",2,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"burnije01",2006,"PIT","NL",16,313,37,"PNC Park","RF",14,"1",0.267907663290828,0.438394358112264,0.239124195333962
"burrepa01",2006,"PHI","NL",29,462,30,"Citizens Bank Park","LF",7,"1",0.438394358112264,0.267907663290828,0.0545737832629464
"bynumfr01",2006,"CHN","NL",4,136,26,"Wrigley Field","2B",1,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"byrdma01",2006,"WAS","NL",5,197,29,"R.F.K. Stadium","CF",4,"0",0.444052646684981,0.233711919307885,0.0410020911066464
"byrneer01",2006,"ARI","NL",26,562,30,"Chase Field","CF",6,"0",0.438394358112264,0.267907663290828,0.0545737832629464
"cabreme01",2006,"NYA","AL",7,460,22,"Yankee Stadium II","LF",1,"0",0.249456722292837,0.0287834679568658,0.00110705645987945
"cabremi01",2006,"FLO","NL",26,576,23,"Joe Robbie Stadium","3B",4,"0",0.307515683299848,0.0492025093279757,0.00262413383082537
"cabreor01",2006,"LAA","AL",9,607,32,"Angels Stadium of Anaheim","SS",10,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"cairomi01",2006,"NYA","AL",0,222,32,"Yankee Stadium II","2B",9,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"camermi01",2006,"SDN","NL",22,552,33,"Petco Park","CF",10,"0",0.387469760957809,0.361638443560622,0.112509737996638
"canoro01",2006,"NYA","AL",15,482,24,"Yankee Stadium II","2B",2,"0",0.354258067161425,0.0738037639919636,0.00512526138833081
"cantujo01",2006,"TBA","AL",14,413,24,"Tropicana Field","2B",3,"0",0.354258067161425,0.0738037639919636,0.00512526138833081
"carroja01",2006,"COL","NL",5,463,32,"Coors Field","2B",4,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"caseyse01",2006,"PIT","NL",3,213,32,"PNC Park","1B",10,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"caseyse01",2006,"DET","AL",5,184,32,"Comerica Park","1B",10,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"castijo02",2006,"PIT","NL",14,518,25,"PNC Park","2B",3,"0",0.390421911517487,0.10184919430891,0.00885645167903563
"castilu01",2006,"MIN","AL",3,584,31,"Hubert H Humphrey Metrodome","2B",11,"0",0.426585755873549,0.301119357087211,0.070851613432285
"castivi02",2006,"SDN","NL",4,254,39,"Petco Park","3B",15,"0",0.199270162778302,0.442822583951782,0.328016728853172
"castrbe01",2006,"WAS","NL",0,110,27,"R.F.K. Stadium","2B",2,"0",0.433966132272746,0.165320431341998,0.020993070646603
"castrju01",2006,"CIN","NL",2,95,34,"Great American Ball Park","SS",11,"0",0.361638443560622,0.387469760957809,0.138382057484932
"castrju01",2006,"MIN","AL",1,156,34,"Hubert H Humphrey Metrodome","SS",11,"0",0.361638443560622,0.387469760957809,0.138382057484932
"castrra01",2006,"NYN","NL",4,126,30,"Shea Stadium","C",5,"0",0.438394358112264,0.267907663290828,0.0545737832629464
"catalfr01",2006,"TOR","AL",7,437,32,"Rogers Centre","LF",9,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"cedenro02",2006,"CHN","NL",6,534,23,"Wrigley Field","SS",2,"0",0.307515683299848,0.0492025093279757,0.00262413383082537
"chaveen01",2006,"NYN","NL",4,353,28,"Shea Stadium","RF",6,"0",0.442822583951782,0.199270162778302,0.0298905244167453
"chaveer01",2006,"OAK","AL",22,485,29,"McAfee Coliseum","3B",8,"0",0.444052646684981,0.233711919307885,0.0410020911066464
"choosh01",2006,"CLE","AL",3,146,24,"Progressive Field","RF",1,"0",0.354258067161425,0.0738037639919636,0.00512526138833081
"churcry01",2006,"WAS","NL",10,196,28,"R.F.K. Stadium","CF",2,"1",0.442822583951782,0.199270162778302,0.0298905244167453
"cintral01",2006,"CHA","AL",5,288,28,"U.S. Cellular Field","SS",5,"0",0.442822583951782,0.199270162778302,0.0298905244167453
"cirilje01",2006,"MIL","NL",3,263,37,"Miller Park","3B",13,"0",0.267907663290828,0.438394358112264,0.239124195333962
"clarkbr02",2006,"MIL","NL",4,415,33,"Miller Park","CF",5,"0",0.387469760957809,0.361638443560622,0.112509737996638
"clarkto02",2006,"ARI","NL",6,132,34,"Chase Field","1B",12,"0",0.361638443560622,0.387469760957809,0.138382057484932
"claytro01",2006,"CIN","NL",2,149,36,"Great American Ball Park","SS",17,"0",0.301119357087211,0.426585755873549,0.201443273606954
"claytro01",2006,"WAS","NL",0,305,36,"R.F.K. Stadium","SS",17,"0",0.301119357087211,0.426585755873549,0.201443273606954
"clossjd01",2006,"COL","NL",2,97,26,"Coors Field","C",3,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"coninje01",2006,"BAL","AL",9,389,40,"Oriole Park at Camden Yards","1B",17,"0",0.165320431341998,0.433966132272746,0.379720365738653
"coninje01",2006,"PHI","NL",1,100,40,"Citizens Bank Park","1B",17,"0",0.165320431341998,0.433966132272746,0.379720365738653
"coraal01",2006,"BOS","AL",1,235,31,"Fenway Park II","SS",8,"0",0.426585755873549,0.301119357087211,0.070851613432285
"costash01",2006,"KCA","AL",3,237,25,"Kauffman Stadium","RF",2,"0",0.390421911517487,0.10184919430891,0.00885645167903563
"costech01",2006,"PHI","NL",7,198,33,"Citizens Bank Park","C",1,"0",0.387469760957809,0.361638443560622,0.112509737996638
"cotahu01",2006,"PIT","NL",0,100,27,"PNC Park","C",2,"0",0.433966132272746,0.165320431341998,0.020993070646603
"counscr01",2006,"ARI","NL",4,372,36,"Chase Field","SS",10,"0",0.301119357087211,0.426585755873549,0.201443273606954
"crawfca02",2006,"TBA","AL",18,600,25,"Tropicana Field","LF",5,"0",0.390421911517487,0.10184919430891,0.00885645167903563
"credejo01",2006,"CHA","AL",30,544,28,"U.S. Cellular Field","3B",5,"1",0.442822583951782,0.199270162778302,0.0298905244167453
"crispco01",2006,"BOS","AL",8,413,27,"Fenway Park II","CF",5,"0",0.433966132272746,0.165320431341998,0.020993070646603
"crosbbo01",2006,"OAK","AL",9,358,26,"McAfee Coliseum","SS",3,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"crosbbu01",2006,"NYA","AL",1,87,30,"Yankee Stadium II","RF",2,"0",0.438394358112264,0.267907663290828,0.0545737832629464
"cruzjo02",2006,"LAN","NL",5,223,32,"Dodger Stadium","LF",12,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"cruzne02",2006,"TEX","AL",6,130,26,"Ameriquest Field","RF",1,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"cuddymi01",2006,"MIN","AL",24,557,27,"Hubert H Humphrey Metrodome","RF",5,"0",0.433966132272746,0.165320431341998,0.020993070646603
"damonjo01",2006,"NYA","AL",24,593,33,"Yankee Stadium II","CF",12,"0",0.387469760957809,0.361638443560622,0.112509737996638
"davanje02",2006,"ARI","NL",5,221,33,"Chase Field","CF",5,"0",0.387469760957809,0.361638443560622,0.112509737996638
"dejesda01",2006,"KCA","AL",8,491,27,"Kauffman Stadium","LF",3,"0",0.433966132272746,0.165320431341998,0.020993070646603
"delgaca01",2006,"NYN","NL",38,524,34,"Shea Stadium","1B",13,"1",0.361638443560622,0.387469760957809,0.138382057484932
"delluda01",2006,"PHI","NL",13,264,33,"Citizens Bank Park","LF",8,"0",0.387469760957809,0.361638443560622,0.112509737996638
"denorch01",2006,"CIN","NL",1,106,26,"Great American Ball Park","RF",1,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"derosma01",2006,"TEX","AL",13,520,31,"Ameriquest Field","RF",6,"0",0.426585755873549,0.301119357087211,0.070851613432285
"diazma02",2006,"ATL","NL",7,297,28,"Turner Field","LF",2,"0",0.442822583951782,0.199270162778302,0.0298905244167453
"doumiry01",2006,"PIT","NL",6,149,25,"PNC Park","1B",2,"0",0.390421911517487,0.10184919430891,0.00885645167903563
"drewjd01",2006,"LAN","NL",20,494,31,"Dodger Stadium","RF",8,"0",0.426585755873549,0.301119357087211,0.070851613432285
"drewst01",2006,"ARI","NL",5,209,23,"Chase Field","SS",1,"0",0.307515683299848,0.0492025093279757,0.00262413383082537
"duffych01",2006,"PIT","NL",2,314,26,"PNC Park","CF",2,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"duncach01",2006,"SLN","NL",22,280,25,"Busch Stadium III","LF",1,"1",0.390421911517487,0.10184919430891,0.00885645167903563
"dunnad01",2006,"CIN","NL",40,561,27,"Great American Ball Park","LF",6,"1",0.433966132272746,0.165320431341998,0.020993070646603
"durhara01",2006,"SFN","NL",26,498,35,"AT&T Park","2B",13,"1",0.332608963057116,0.409364877608758,0.167944565172824
"dyeje01",2006,"CHA","AL",44,539,32,"U.S. Cellular Field","RF",12,"1",0.409364877608758,0.332608963057116,0.0900815941613022
"easleda01",2006,"ARI","NL",9,189,37,"Chase Field","SS",14,"0",0.267907663290828,0.438394358112264,0.239124195333962
"eckstda01",2006,"SLN","NL",2,500,31,"Busch Stadium III","SS",6,"0",0.426585755873549,0.301119357087211,0.070851613432285
"edmonji01",2006,"SLN","NL",19,350,36,"Busch Stadium III","CF",13,"1",0.301119357087211,0.426585755873549,0.201443273606954
"ellisja01",2006,"SFN","NL",2,81,28,"AT&T Park","LF",2,"0",0.442822583951782,0.199270162778302,0.0298905244167453
"ellisma01",2006,"OAK","AL",11,441,29,"McAfee Coliseum","2B",4,"0",0.444052646684981,0.233711919307885,0.0410020911066464
"encared01",2006,"CIN","NL",15,406,23,"Great American Ball Park","3B",2,"0",0.307515683299848,0.0492025093279757,0.00262413383082537
"encarju01",2006,"SLN","NL",19,557,30,"Busch Stadium III","RF",11,"0",0.438394358112264,0.267907663290828,0.0545737832629464
"ensbemo01",2006,"HOU","NL",23,387,31,"Minute Maid Park","3B",5,"1",0.426585755873549,0.301119357087211,0.070851613432285
"erstada01",2006,"LAA","AL",0,95,32,"Angels Stadium of Anaheim","CF",11,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"escobal01",2006,"WAS","NL",4,87,28,"R.F.K. Stadium","CF",3,"0",0.442822583951782,0.199270162778302,0.0298905244167453
"estrajo01",2006,"ARI","NL",11,414,30,"Chase Field","C",4,"0",0.438394358112264,0.267907663290828,0.0545737832629464
"ethiean01",2006,"LAN","NL",11,396,24,"Dodger Stadium","LF",1,"0",0.354258067161425,0.0738037639919636,0.00512526138833081
"everead01",2006,"HOU","NL",6,514,29,"Minute Maid Park","SS",5,"0",0.444052646684981,0.233711919307885,0.0410020911066464
"evereca01",2006,"SEA","AL",11,308,35,"Safeco Field","DH",14,"0",0.332608963057116,0.409364877608758,0.167944565172824
"faheybr01",2006,"BAL","AL",2,251,25,"Oriole Park at Camden Yards","LF",1,"0",0.390421911517487,0.10184919430891,0.00885645167903563
"fasansa01",2006,"PHI","NL",4,140,35,"Citizens Bank Park","C",5,"0",0.332608963057116,0.409364877608758,0.167944565172824
"felizpe01",2006,"SFN","NL",22,603,31,"AT&T Park","3B",6,"0",0.426585755873549,0.301119357087211,0.070851613432285
"fickro01",2006,"WAS","NL",2,128,32,"R.F.K. Stadium","C",7,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"fieldpr01",2006,"MIL","NL",28,569,22,"Miller Park","1B",1,"0",0.249456722292837,0.0287834679568658,0.00110705645987945
"figgich01",2006,"LAA","AL",9,604,28,"Angels Stadium of Anaheim","CF",4,"0",0.442822583951782,0.199270162778302,0.0298905244167453
"finlest01",2006,"SFN","NL",6,426,41,"AT&T Park","CF",18,"0",0.132600762638895,0.416745254007954,0.436590266103571
